year,population
1698.0,4937.0
1712.0,5840.0
1723.0,7248.0
1737.0,10664.0
1746.0,11717.0
1756.0,13046.0
1771.0,21863.0
1790.0,33131.0
1800.0,60515.0
1810.0,96373.0
1820.0,123706.0
1830.0,202589.0
1840.0,312710.0
1850.0,515547.0
1860.0,813669.0
1870.0,942292.0
1880.0,1206299.0
1890.0,1515301.0
1900.0,3437202.0
1910.0,4766883.0
1920.0,5620048.0
1930.0,6930446.0
1940.0,7454995.0
1950.0,7891957.0
1960.0,7781984.0
1970.0,7894862.0
1980.0,7071639.0
1990.0,7322564.0
2e3,8008288.0
2010.0,8175133.0
2014.0,8491079.0
